,CellType,Area,MajAxisLength
0,Type1,5337.0,96.52103077454262
1,Type1,3262.0,95.22446646903107
2,Type1,5762.0,112.76739928910641
3,Type1,4017.0,82.5457261557565
4,Type1,6003.0,100.76257254828727
5,Type1,4720.0,86.14615112952238
6,Type1,9799.0,116.26499630072968
7,Type1,5697.0,106.63224351764366
8,Type1,6193.0,103.71280244851367
9,Type1,5321.0,89.632655712873
10,Type1,6485.0,107.26779446053781
11,Type1,7022.0,111.0841415342226
12,Type1,4750.0,101.80343434367916
13,Type1,6649.0,114.01942306331313
14,Type1,3391.0,81.86618321870189
15,Type1,4615.0,105.92211639749675
16,Type1,4020.0,91.25263987646977
17,Type1,5653.0,108.51025581258796
18,Type1,6048.0,105.10939465807857
19,Type1,5681.0,114.67620218792425
20,Type1,3672.0,93.86414018727221
21,Type1,3908.0,83.48051404799132
22,Type1,5078.0,94.4367845029211
23,Type1,4590.0,88.78597439903358
24,Type1,4711.0,92.40993256609998
25,Type1,5372.0,107.8556123000465
26,Type1,4194.0,93.2023768156543
27,Type1,5697.0,120.25048701877921
28,Type1,6733.0,105.1321383963044
29,Type1,5825.0,96.64248496294093
30,Type1,6334.0,103.67336866887199
31,Type1,6761.0,116.44021848447026
32,Type1,5487.0,99.51969719252756
33,Type1,7079.0,117.46668186374117
34,Type1,5056.0,95.61364277976811
35,Type1,75.0,11.833394454044868
36,Type1,2997.0,79.72308541961155
37,Type1,4637.0,99.23630712878895
38,Type1,3877.0,85.12196565255597
39,Type1,6761.0,108.4251292807127
40,Type1,6287.0,110.60790698726312
41,Type1,4557.0,92.60169862018114
42,Type1,4400.0,102.2107268482133
43,Type1,3778.0,87.07272943451326
44,Type1,6185.0,103.34526454313801
45,Type1,4672.0,98.08786695931038
46,Type1,147.0,25.91078983085659
47,Type1,5249.0,105.57808488413326
48,Type1,4906.0,98.59811581301351
49,Type1,5612.0,100.27900256245057
50,Type1,4039.0,84.9829247932182
51,Type1,4471.0,80.59134870230565
52,Type1,6161.0,119.17079027854297
53,Type1,5690.0,103.97725332653603
54,Type2,3745.0,92.55686252081456
55,Type2,2552.0,66.16315293783298
56,Type2,2597.0,64.85371871433364
57,Type2,3093.0,78.08663675683233
58,Type2,4451.0,94.26618722810103
